time,roll,pitch,yaw,origin_x,origin_y,origin_z
1.29,-177.22551623907194,1.606129876541724,-2.8767775525790054,-158.9104582,328.6635646,36.86573542
1.3,-177.238565651295,1.6345843383604883,-2.885996537872784,-158.9254032,328.6792406,36.85283027
1.31,-177.20588784758087,1.6110773027693768,-2.8880681409830737,-158.9034811,328.6862646,36.78298994
1.32,-177.14449444207392,1.5661236562099496,-2.853596294494974,-158.8965901,328.6484731,36.80493261
1.33,-177.14384648869716,1.5843338701508147,-2.866659753294488,-158.9165256,328.6071257,36.80952167
1.34,-177.14566920169096,1.6058696232253786,-2.8776768168113325,-158.913723,328.6665661,36.86503643
1.35,-177.17158150062775,1.583122393170307,-2.869272925623421,-158.9406888,328.6414007,36.79885053
1.36,-177.23932062873322,1.6121303886299976,-2.869565035035081,-158.9292716,328.6638863,36.86903318
1.37,-177.11168946328613,1.6045671365763035,-2.870766072694858,-158.91681,328.6662187,36.84822619
1.38,-177.0784692671522,1.5794220368602416,-2.8677686019531428,-158.9158364,328.6737015,36.86753672
1.39,-177.26586665522498,1.6201736566462925,-2.886742746813581,-158.8927771,328.6801614,36.80340699
1.4,-177.09442576599966,1.6365855445864228,-2.8963755949480214,-158.9428651,328.7535017,36.95689059
1.41,-177.18977714442252,1.5827799812274717,-2.863638890586071,-158.9348106,328.6834578,36.86235843
1.42,-177.11449198618217,1.628891976190999,-2.8594948552009445,-158.9323471,328.6118137,36.82183223
1.43,-177.15271351723783,1.5801620996272043,-2.873100651509281,-158.8760166,328.7121997,36.85655378
1.44,-177.25377968042864,1.607816615857829,-2.8739358089317033,-158.9302267,328.679661,36.86448518
1.45,-177.14898929656752,1.5682908512398328,-2.8640109733368413,-158.9598277,328.6632185,36.83130321
1.46,-177.20819624188312,1.6010186368710433,-2.8770950204442904,-158.9648737,328.6895129,36.83784419
1.47,-177.24249249201733,1.5939568781981905,-2.8659747245500307,-158.9113345,328.6497996,36.81237077
1.48,-177.19811771870124,1.5843325075060894,-2.867035032778885,-158.9911786,328.6350494,36.79451122
1.49,-177.06831557999888,1.6139471963496834,-2.8876427170810315,-158.9140394,328.6626581,36.80991664
1.5,-177.17173490989086,1.6106552987888634,-2.878061633050507,-158.922503,328.7308366,36.96059466
1.51,-177.24005088060818,1.602401606764402,-2.8833858389012605,-158.9155242,328.6868247,36.85304138
1.52,-177.1921826028047,1.5982480269425061,-2.8527596360184266,-158.9507669,328.630005,36.81085917
1.53,-177.2062635495352,1.6354676186938504,-2.8821267771913845,-158.9139302,328.6658468,36.85536631
1.54,-177.11768967886317,1.593533392850441,-2.8677862982068882,-158.9055074,328.6556248,36.81078362
1.55,-177.0956292232004,1.63894532441437,-2.8796250693965826,-158.9092958,328.720469,36.95613075
1.56,-177.11271733817833,1.6428601160241063,-2.8767892189946593,-158.9169933,328.6700331,36.86813241
1.57,-177.08401746632407,1.55542373655304,-2.8572778814989386,-158.9394429,328.6777471,36.86940309
1.58,-177.01187557727872,1.6073040477348972,-2.8681781463355027,-158.9678099,328.6384886,36.87083378
1.59,-177.0702058841435,1.6286883866009814,-2.872238512361784,-158.9169954,328.6340643,36.8423607
1.6,-177.11979897811904,1.5920143429732478,-2.85753787835284,-158.942854,328.6636521,36.89347757
1.61,-177.15730306121642,1.6093485823509681,-2.876485646863865,-158.9392942,328.6871639,36.86021069
1.62,-177.11919377962565,1.6119865911182414,-2.871518449312416,-158.9169933,328.6700331,36.86813241
1.63,-177.18973377083415,1.5631502244696058,-2.8574274811607,-158.9027144,328.6384133,36.81233165
1.64,-177.1830153987488,1.5631701898149917,-2.848802524379518,-158.9373778,328.6723901,36.87814875
1.65,-177.18917017674235,1.6313787396700714,-2.8854522129638305,-158.9091145,328.6768043,36.85632658
1.66,-177.15671160607565,1.5499087602010517,-2.852760027390963,-158.9328858,328.6224803,36.75892652
1.67,-177.19905582896357,1.6144566908875084,-2.887250804189858,-158.9497602,328.7023318,36.90458448
1.68,-177.15200269780217,1.628120403010103,-2.8792284860389863,-158.9185868,328.6975809,36.93216612
1.69,-177.10528849027003,1.6120866348928442,-2.8696673003416358,-158.9292716,328.6638863,36.86903318
1.7,-177.12509649741293,1.551419929884573,-2.8466043885542085,-158.9054646,328.6001883,36.76332781
